smiles	role	name	ambiguous
CC(C)(C)OC(=O)N1CCC(=O)CC1	substrate	Boc-4-піперидон	
COCCN	substrate	2-метоксіетиламін	
CCS	substrate	етантіол	
CCCCN	substrate	бутиламін	
O=C(Br)CBr	substrate	бромацетилбромід	
CCCI	substrate	пропілйодид	
C[N+](C)(C)c1ccccc1	reagent	фенілтриметиламоній	
COC(C)(C)C	reagent	MTBE	
CC(Cl)OC(=O)Cl	substrate	1-хлоретилхлороформіат	
NCCc1ccccc1	substrate	фенетиламін	
