index,product_smiles,ground_truth_reactants,predicted_reactants_chemllm_20b_gguf,exact_match_chemllm_20b_gguf,core_exact_match_chemllm_20b_gguf,valid_chemllm_20b_gguf,predicted_reactants_cot_no_rag,exact_match_cot_no_rag,core_exact_match_cot_no_rag,valid_cot_no_rag,predicted_reactants_hybrid_rag_rerank,exact_match_hybrid_rag_rerank,core_exact_match_hybrid_rag_rerank,valid_hybrid_rag_rerank,predicted_reactants_rag_cot,exact_match_rag_cot,core_exact_match_rag_cot,valid_rag_cot,predicted_reactants_reactiont5v2,exact_match_reactiont5v2,core_exact_match_reactiont5v2,valid_reactiont5v2
11,O=C(O)c1cc(C2CC2)c(OCC2CCN(Cc3ccc(C4CC4)cc3Cl)CC2)cc1F,COC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3ccc(C4CC4)cc3Cl)CC2)cc1F,,False,False,False,O=C(O)c1cc(C2CC2)cc(F)c1O.Clc1cc(C2CC2)ccc1CN1CCC(CBr)CC1,False,False,True,CCOC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3ccc(C4CC4)cc3Cl)CC2)cc1F,False,False,True,O=C(O)c1cc(C2CC2)c(O)cc1F.Clc1cc(C2CC2)ccc1CN1CCC(CBr)CC1,False,False,True,COC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3ccc(C4CC4)cc3Cl)CC2)cc1F,True,True,True
12,COC(=O)CS(=O)(=O)c1cc(C)ccc1N,COC(=O)CS(=O)(=O)c1cc(C)ccc1[N+](=O)[O-],,False,False,False,Cc1ccc(N)c(S(=O)(=O)Cl)c1.COC(C)=O,False,False,True,COC(=O)CS(=O)(=O)c1cc(C)ccc1[N+](=O)[O-],True,True,True,COC(=O)CS.Cc1ccc(N)c(S(=O)(=O)Cl)c1,False,False,True,COC(=O)CS(=O)(=O)c1cc(C)ccc1[N+](=O)[O-],True,True,True
13,O=C(C1CCc2cc(F)ccc21)N1CCC[C@H](c2nc(-c3ccc(F)cc3)no2)C1,O=C(O)C1CCc2cc(F)ccc21.Fc1ccc(-c2noc([C@H]3CCCNC3)n2)cc1,,False,False,False,O=C(O)C1CCc2cc(F)ccc21.Fc1ccc(-c2noc([C@H]3CCCNC3)n2)cc1,True,True,True,Fc1ccc(-c2noc([C@H]3CCCNC3)n2)cc1.O=C(O)C1CCc2cc(F)ccc21,True,True,True,O=C(Cl)C1CCc2cc(F)ccc21.Fc1ccc(-c2noc([C@H]3CCCNC3)n2)cc1,False,False,True,Fc1ccc(-c2noc([C@H]3CCCNC3)n2)cc1.O=C(O)C1CCc2cc(F)ccc21,True,True,True
14,CN(C)C1CCC(NCCO)CC1,CN(C)C1CCC(N(CCO)C(=O)OC(C)(C)C)CC1,OCCNC1CCCCC1.CN(C)C=O,False,False,True,BrC1CCCC(Br)C1.CNC.NCCO,False,False,True,CN(C)[C@H]1CC[C@H](NCCO[Si](C)(C)C(C)(C)C)CC1,False,False,True,CN(C)C.O=C1CCC(NCCO)CC1,False,False,True,CN(C)[C@H]1CC[C@H](NCCO[Si](C)(C)C(C)(C)C)CC1,False,False,True
15,CCSc1ncc(CO)n1C,CCI.Cn1c(CO)cnc1S,CCS.Cc1ncnc(O)c1C,False,False,True,CCS.Cn1c(CO)cnc1Cl,False,False,True,CCI.Cn1c(CO)cnc1S,True,True,True,Cn1c(CO)cnc1S.CCI,True,True,True,CCI.Cn1c(CO)cnc1S,True,True,True
16,CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)NC(c1ccccc1)c1ccccc1,CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)Cl.NC(c1ccccc1)c1ccccc1,CC(C)c1cccc(C(C)C)c1N.CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)N=C(c1ccccc1)c1ccccc1,False,False,True,CC(C)c1cccc(C(C)C)c1N.O=C=NS(=O)(=O)NC(c1ccccc1)c1ccccc1,False,False,True,CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)Cl.NC(c1ccccc1)c1ccccc1,True,True,True,O=S(=O)(Cl)C(c1ccccc1)c1ccccc1.CC(C)c1cccc(C(C)C)c1NC(N)=O,False,False,True,CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)Cl.NC(c1ccccc1)c1ccccc1,True,True,True
17,CC(=O)c1ccc(OCc2ccccc2)c2[nH]c(=O)ccc12,BrCc1ccccc1.CC(=O)c1ccc(O)c2[nH]c(=O)ccc12,,False,False,False,CC(=O)c1ccc(O)c2[nH]c(=O)ccc12.Brc1ccccc1,False,False,True,BrCc1ccccc1.CC(=O)c1ccc(O)c2[nH]c(=O)ccc12.O=C([O-])[O-].[K+].[K+],False,True,True,BrCc1ccccc1.CC(=O)c1ccc(O)c2[nH]c(=O)ccc12,True,True,True,BrCc1ccccc1.CC(=O)c1ccc(O)c2[nH]c(=O)ccc12,True,True,True
18,Cc1cccc(C(=O)NC2(C(=O)O)Cc3ccccc3C2)c1CC(C)C,CC(C)=Cc1c(C)cccc1C(=O)NC1(C(=O)O)Cc2ccccc2C1,CC(C)CCc1cccc(C(=O)NC2(C(=O)O)Cc3ccccc3C2)c1,False,False,True,Cc1cccc(C(=O)O)c1CC(C)C.NC1(C(=O)O)Cc2ccccc2C1,False,False,True,CCOC(=O)C1(NC(=O)c2cccc(C)c2CC(C)C)Cc2ccccc2C1,False,False,True,Cc1cccc(C(=O)O)c1CC(C)C.NC1(C(=O)O)Cc2ccccc2C1,False,False,True,CC(C)=Cc1c(C)cccc1C(=O)NC1(C(=O)O)Cc2ccccc2C1,True,True,True
19,CCc1cnc(CCNC(=O)Nc2nc(C)c(-c3cc(C)nc(S(C)=O)n3)s2)o1,O=C(OO)c1cccc(Cl)c1.CCc1cnc(CCNC(=O)Nc2nc(C)c(-c3cc(C)nc(SC)n3)s2)o1,,False,False,False,CCc1cnc(CCN)o1.Cc1cc(-c2sc(N=C=O)nc2C)nc(S(C)=O)n1,False,False,True,CCc1cnc(CCNC(=O)Nc2nc(C)c(-c3cc(C)nc(SC)n3)s2)o1.O=C(OO)c1cccc(Cl)c1,True,True,True,CCN=C=O.Cc1cc(-c2sc(N)nc2C)nc(S(C)=O)n1,False,False,True,CCc1cnc(CCNC(=O)Nc2nc(C)c(-c3cc(C)nc(SC)n3)s2)o1.O=C(OO)c1cccc(Cl)c1,True,True,True
20,CC(=O)NNc1ccc(C(C)C)cc1,CC(=O)O.CC(C)c1ccc(NN)cc1,CC(=O)NNc1ccc(C(C)C)cc1,False,False,True,CC(=O)Cl.CC(C)c1ccc(NN)cc1,False,False,True,CC(=O)O.CC(C)c1ccc(NN)cc1,True,True,True,CC(=O)NNc1ccc([N+](=O)[O-])cc1.[H][H],False,False,True,CC(=O)O.CC(C)c1ccc(NN)cc1,True,True,True
21,O=C(CCc1ccc2c(c1)OCO2)NC1Cc2cc(Cl)ccc2N(Cc2ccccc2)C1,O=C(O)CCc1ccc2c(c1)OCO2.NC1Cc2cc(Cl)ccc2N(Cc2ccccc2)C1,,False,False,False,O=C(O)CCc1ccc2c(c1)OCO2.NC1Cc2cc(Cl)ccc2N(Cc2ccccc2)C1,True,True,True,O=C(C=Cc1ccc2c(c1)OCO2)NC1Cc2cc(Cl)ccc2N(Cc2ccccc2)C1,False,False,True,O=C(O)CCc1ccc2c(c1)OCO2.NC1Cc2cc(Cl)ccc2N(Cc2ccccc2)C1,True,True,True,NC1Cc2cc(Cl)ccc2N(Cc2ccccc2)C1.O=C(O)CCc1ccc2c(c1)OCO2,True,True,True
22,CC(=O)c1ccc(OC(C)C)c(C)c1,CC(C)I.CC(=O)c1ccc(O)c(C)c1,CC(=O)c1ccc(OC(C)C)c(C)c1,False,False,True,CC(=O)c1ccc(O)c(C)c1.CC(C)Br,False,False,True,CC(=O)c1ccc(O)c(C)c1.CC(C)I.O=C([O-])[O-],False,True,True,CC(=O)c1ccc(O)c(C)c1.CC(C)Br,False,False,True,CC(=O)c1ccc(O)c(C)c1.CC(C)I,True,True,True
23,CSc1ncc(Br)c(CO)n1,COC(=O)c1nc(SC)ncc1Br,,False,False,False,OCc1nc(Cl)ncc1Br.CS,False,False,True,COC(=O)c1nc(SC)ncc1Br,True,True,True,OCc1nc(I)ncc1Br.CS,False,False,True,COC(=O)c1nc(SC)ncc1Br,True,True,True
24,CCOC(=O)c1ccc(=O)n(CCOC)c1,COCCBr.CCOC(=O)c1ccc(=O)[nH]c1,,False,False,False,,False,False,False,CCOC(=O)c1ccc(=O)[nH]c1.COCCBr,True,True,True,,False,False,False,CCOC(=O)c1ccc(=O)[nH]c1.COCCBr,True,True,True
25,CC(C)(C)OC(=O)NCCC1CCNCC1,CC(C)(C)OC(=O)NCCc1ccncc1,CC(C)(C)OC(=O)NCCC1CCN(C(=O)OC(C)(C)C)CC1,False,False,True,CC(C)(C)OC(=O)Cl.NCCC1CCNCC1,False,False,True,CC(C)(C)OC(=O)NCCC1CCN(Cc2ccccc2)CC1,False,False,True,CCCNC(=O)OC(C)(C)C.C1CCNCC1,False,False,True,CC(C)(C)OC(=O)NCCc1ccncc1,True,True,True
26,CCn1cc(-c2cnc(N)c(-c3ccc(C(=O)O)c(F)c3)n2)cn1,CCn1cc(-c2cnc(N)c(-c3ccc(C(=O)OC)c(F)c3)n2)cn1,,False,False,False,CCn1cc(-c2cnc(N)c(B(O)O)n2)cn1.O=C(O)c1ccc(Br)cc1F,False,False,True,CCn1cc(-c2cnc(N)c(-c3ccc(C(=O)OC)c(F)c3)n2)cn1,True,True,True,CCn1cc(Br)cn1.Nc1ncc(OBO)nc1-c1ccc(C(=O)O)c(F)c1,False,False,True,CCn1cc(-c2cnc(N)c(-c3ccc(C(=O)OC)c(F)c3)n2)cn1,True,True,True
27,Cc1ccc2c(c1)N(CC(=O)c1ccccc1C)C(=O)C(NC(=O)OC(C)(C)C)CN2C(=O)C1CCCCC1,Cc1ccccc1C(=O)CBr.Cc1ccc2c(c1)NC(=O)C(NC(=O)OC(C)(C)C)CN2C(=O)C1CCCCC1,,False,False,False,Cc1ccc2c(c1)NC(=O)C(NC(=O)OC(C)(C)C)CN2C(=O)C1CCCCC1.Cc1ccccc1C(=O)CBr,True,True,True,Cc1ccc2c(c1)NC(=O)C(NC(=O)OC(C)(C)C)CN2C(=O)C1CCCCC1.Cc1ccccc1C(=O)CBr,True,True,True,Cc1ccc2c(c1)NC(=O)C(NC(=O)OC(C)(C)C)CN2C(=O)C1CCCCC1.Cc1ccc(CC(=O)Cl)cc1,False,False,True,Cc1ccc2c(c1)NC(=O)C(NC(=O)OC(C)(C)C)CN2C(=O)C1CCCCC1.Cc1ccccc1C(=O)CBr,True,True,True
28,CC(C)(C)[Si](C)(C)OC1CCOc2c(C=O)cccc21,CN(C)C=O.CC(C)(C)[Si](C)(C)OC1CCOc2ccccc21,CC(C)(C)[Si](C)(C)OC1CCOc2c(CO)cccc21,False,False,True,O=Cc1cccc2c1OCCC2O.CC(C)(C)[Si](C)(C)Cl,False,False,True,CC(C)(C)[Si](C)(C)OC1CCOc2ccccc21.CCOCC.CN(C)C=O,False,False,True,O=Cc1cccc2c1OCCC2O.CC(C)(C)[Si](C)(C)Cl,False,False,True,CC(C)(C)[Si](C)(C)OC1CCOc2ccccc21.CN(C)C=O,True,True,True
29,CCCC(C(=O)OC)c1c(C)nc(N2CCCCC2)nc1-c1ccc(OC)cc1F,CCCC(C(=O)OC)c1c(C)nc(N2CCCCC2)nc1Cl.COc1ccc(B(O)O)c(F)c1,,False,False,False,CCCC(C(=O)O)c1c(C)nc(N2CCCCC2)nc1-c1ccc(OC)cc1F.CO,False,False,True,CCCC(C(=O)OC)c1c(C)nc(N2CCCCC2)nc1Cl.COc1ccc(B(O)O)c(F)c1,True,True,True,C1CCNCC1.CCCC(C(=O)OC)c1c(C)nc(Cl)nc1-c1ccc(OC)cc1F,False,False,True,CCCC(C(=O)OC)c1c(C)nc(N2CCCCC2)nc1Cl.COc1ccc(B(O)O)c(F)c1,True,True,True
30,CS(=O)(=O)c1ccc(Cl)c(N)c1,CS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,CSc1ccc(Cl)c(N)c1,False,False,True,Nc1ccc(Br)c(Cl)c1.CS(=O)(=O)[O-],False,False,True,CS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,True,True,True,CS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1.[H][H],False,True,True,CS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,True,True,True
31,CCc1nc2c(N[C@@H]3CC[C@@H](N4CCOCC4)CC3)nc(Nc3cnn(C4CCOCC4)c3)nc2s1,CCc1nc2c(N[C@@H]3CC[C@@H](N4CCOCC4)CC3)nc(Cl)nc2s1.Nc1cnn(C2CCOCC2)c1,,False,False,False,CCc1nc2c(Cl)nc(Nc3cnn(C4CCOCC4)c3)nc2s1.N[C@H]1CC[C@H](N2CCOCC2)CC1,False,False,True,CCc1nc2c(N[C@@H]3CC[C@@H](N4CCOCC4)CC3)nc(Cl)nc2s1.Nc1cnn(C2CCOCC2)c1,True,True,True,CCc1nc2c(Cl)nc(Cl)nc2s1.N[C@H]1CC[C@H](N2CCOCC2)CC1.Nc1cnn(C2CCOCC2)c1,False,False,True,CCc1nc2c(N[C@@H]3CC[C@@H](N4CCOCC4)CC3)nc(Cl)nc2s1.Nc1cnn(C2CCOCC2)c1,True,True,True
32,O=C(O)C[C@@H]1COc2cc(O)ccc21,O=C(O)Cc1coc2cc(O)ccc12,O=C(O)C[C@@H]1COc2cc(OCc3ccccc3)ccc21,False,False,True,Oc1ccccc1.CC(O)C(=O)O,False,False,True,COC(=O)C[C@@H]1COc2cc(O)ccc21,False,False,True,COC(=O)C[C@@H]1COc2cc(O)ccc21,False,False,True,O=C(O)Cc1coc2cc(O)ccc12,True,True,True
33,Cc1cc(F)ccc1-c1nncc2cc(Sc3cccc(F)c3)ccc12,Cc1cc(F)ccc1-c1nncc2cc(Cl)ccc12.Fc1cccc(S)c1,Cc1cc(F)ccc1-c1n[nH]c2cc(Sc3cccc(F)c3)ccc12,False,False,True,Cc1ccc(F)cc1B(O)O.Fc1cccc(Sc2ccc3c(Br)nncc3c2)c1,False,False,True,Cc1cc(F)ccc1-c1nncc2cc(Cl)ccc12.Fc1cccc(S)c1,True,True,True,Cc1ccc(F)cc1-n1c(Br)nc2cc(Br)ccc21.Fc1ccc(S)cc1,False,False,True,Cc1cc(F)ccc1-c1nncc2cc(Cl)ccc12.Fc1cccc(S)c1,True,True,True
34,Cc1nn(-c2ccc(Cl)nn2)c(C)c1N,Cc1nn(-c2ccc(Cl)nn2)c(C)c1N1C(=O)c2ccccc2C1=O,,False,False,False,,False,False,False,Cc1nn(-c2ccc(Cl)nn2)c(C)c1N1C(=O)c2ccccc2C1=O,True,True,True,Cc1nn(-c2ccc(Cl)nn2)c(C)c1N1C(=O)c2ccccc2C1=O.NN,False,True,True,Cc1nn(-c2ccc(Cl)nn2)c(C)c1N1C(=O)c2ccccc2C1=O,True,True,True
35,C(=N\C(c1ccccc1)c1ccccc1)/c1ccc2ccc(-c3ccccc3)nc2c1,O=Cc1ccc2ccc(-c3ccccc3)nc2c1.NC(c1ccccc1)c1ccccc1,C(=NC(c1ccccc1)c1ccccc1)c1ccc2ccc(-c3ccccc3)nc2c1,False,False,True,NC(c1ccccc1)c1ccccc1.O=Cc1ccc2ccc(-c3ccccc3)nc2c1,True,True,True,NC(c1ccccc1)c1ccccc1.O=Cc1ccc2ccc(-c3ccccc3)nc2c1,True,True,True,O=Cc1ccc2ccc(-c3ccccc3)nc2c1.NC(c1ccccc1)c1ccccc1,True,True,True,NC(c1ccccc1)c1ccccc1.O=Cc1ccc2ccc(-c3ccccc3)nc2c1,True,True,True
36,COc1ccc([C@](C)(N)C(=O)O)cc1,COc1ccc([C@](C)(NC(C)=O)C(=O)O)cc1,COc1ccc([C@](C)(N)C(=O)O)cc1,False,False,True,COc1ccc(C(C)=O)cc1.N.C#N,False,False,True,COc1ccc([C@]2(C)C(=O)O[C@@H](c3ccccc3)N2C(=O)c2ccccc2)cc1,False,False,True,COc1ccc([C@]2(C)NC(=O)NC2=O)cc1.N.O,False,False,True,COc1ccc([C@](C)(NC(C)=O)C(=O)O)cc1,True,True,True
37,COc1ccc(C(C)=CC#N)cc1,CCOP(=O)(CC#N)OCC.COc1ccc(C(C)=O)cc1,,False,False,False,COc1ccc(I)cc1.C=C(C)C#N,False,False,True,CCOP(=O)(CC#N)OCC.COc1ccc(C(C)=O)cc1,True,True,True,,False,False,False,CCOP(=O)(CC#N)OCC.COc1ccc(C(C)=O)cc1,True,True,True
38,CC(O)c1ncnc(Cl)c1I,CC(=O)OC(C)c1ncnc(Cl)c1I,CC(O)c1ncnc(Cl)c1I,False,False,True,O=Cc1ncnc(Cl)c1I.[CH3][Mg][Br],False,False,True,CC(=O)OC(C)c1ncnc(Cl)c1I,True,True,True,CC(=O)c1ncnc(Cl)c1I.[Na+].[BH4-],False,False,True,CC(=O)OC(C)c1ncnc(Cl)c1I,True,True,True
39,COc1ccc(C[C@H](NC(=O)[C@@H](N)Cc2ccc(OC)cc2)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2C(=O)O)cc1,COc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc2ccc(OC)cc2)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2C(=O)O)cc1,COc1ccc(C[C@H](NC(=O)[C@@H](N)Cc2ccc(OC)cc2)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2C(=O)O)cc1.COc1ccc(C[C@H](NC(=O)[C@@H](N)Cc2ccc(OC)cc2)C(=O)O)cc1,False,False,True,COc1ccc(C[C@H](NC(=O)[C@@H](N)Cc2ccc(OC)cc2)C(=O)O)cc1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)O)[C@@H](N)[C@H]1O,False,False,True,COc1ccc(C[C@H](NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)OC(C)(C)C)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2C(=O)O)cc1,True,True,True,COc1ccc(C[C@H](NC(=O)[C@@H](N)Cc2ccc(OC)cc2)C(=O)O)cc1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)O)[C@@H](N)[C@H]1O,False,False,True,COc1ccc(C[C@H](NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)OC(C)(C)C)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N)ncnc43)O[C@@H]2C(=O)O)cc1,True,True,True
