index,product_smiles,ground_truth_reactants,predicted_reactants_hybrid_t5_rag_rerank,exact_match_hybrid_t5_rag_rerank,core_exact_match_hybrid_t5_rag_rerank,valid_hybrid_t5_rag_rerank
10,O=[N+]([O-])c1cccc(Nc2cc(Cl)ccn2)c1,Clc1ccnc(Cl)c1.Nc1cccc([N+](=O)[O-])c1,Clc1ccnc(Br)c1.Nc1cccc([N+](=O)[O-])c1,False,False,True
11,COC(=O)[C@H](CN)NC(=O)OCc1ccccc1,CO.NC[C@H](NC(=O)OCc1ccccc1)C(=O)O.O=S(=O)(O)O,NC[C@H](NC(=O)OCc1ccccc1)C(=O)O,False,False,True
12,O=C1CCCN1C1CCCCC1,O=C([O-])C1=NN(c2ccc(S(=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)[O-])cc1.[Na+].[Na+].[Na+],O=C(O)CCCNC1CCCCC1,False,False,True
13,CC(C)OC(=O)NCCCCSc1cccc2nccn12,CC(C)OC(=O)Cl.CCN(CC)CC.NCCCCSc1cccc2nccn12,CC(C)OC(=O)Cl.NCCCCSc1cccc2nccn12,False,False,True
14,COC(=O)c1ccc(OCC2CO2)cc1O,COC(=O)c1ccc(O)cc1O.ClCC1CO1.O=C([O-])[O-].[K+].[K+],COC(=O)c1ccc(O)cc1O.ClCC1CO1,False,True,True
15,COc1cc2oc(=O)c3c(c2cc1OCCCCCN1CCC(c2ccccc2)CC1)CCC3,COc1cc2oc(=O)c3c(c2cc1OCCCCCBr)CCC3.O=C([O-])/C=C/C(=O)[O-].c1ccc(C2CCNCC2)cc1,COc1cc2oc(=O)c3c(c2cc1OCCCCCCl)CCC3.c1ccc(C2CCNCC2)cc1,False,False,True
16,CC(=O)Nc1cc(Nc2cc(Nc3cn(C)cn3)n3ncc(C#N)c3n2)ccc1C,CC(=O)Nc1cc(N)ccc1C.Cn1cnc(Nc2cc(Cl)nc3c(C#N)cnn23)c1,CC(=O)Nc1cc(N)ccc1C.N#Cc1cnn2c(Nc3cn(C)cn3)cc(Cl)nc12,True,True,True
17,N#CCc1ccccc1CCCO,CCOC(=O)CCc1ccccc1CC#N.CCOC(C)=O.COCC[O][Al+][O]CCOC.[H-].[H-].[Na+],N#CCc1cccc(CCC(=O)O)c1,False,False,True
18,O[C@@H]1[C@H](O)[C@@H](COC2CC2)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](COC2CC2)O[C@H]1n1cnc2c(Cl)nc(Cl)nc21.NC1CCCC1,NC1CCCC1.O[C@@H]1[C@H](O)[C@@H](COC2CC2)O[C@H]1n1cnc2c(Cl)nc(Cl)nc21,False,False,True
19,CC(C)(C)OC(=O)CCNCCC12CC3CC(CC(C3)C1)C2.Cl,C=CC(=O)OC(C)(C)C.CCN(CC)CC.CCOC(C)=O.Cl.Cl.NCCC12CC3CC(CC(C3)C1)C2,CC(C)(C)OC(=O)CCBr.NCCC12CC3CC(CC(C3)C1)C2,False,False,True
20,ON=CC12CCCN(CCC1)C2,CO.C[O-].[Na+].CS(C)=O.C[O-].[Na+].Cl.NO.O=C(Cl)C(=O)Cl.OCC12CCCN(CCC1)C2,NO.O=CC12CCCN(CCC1)C2,False,False,True
21,CN(C)c1ccc(C2(c3ccc(N(C)C)cc3)Oc3ccccc3-c3[nH]c4ccccc4c32)cc1,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1.O=P(Cl)(Cl)Cl.Oc1ccccc1-c1cc2ccccc2[nH]1.[Na+].[OH-],CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1.Oc1ccccc1-c1cc2ccccc2[nH]1,False,True,True
22,O=C(Cc1cccc(Cl)n1)c1ccc(F)cc1,CCOC(=O)c1ccc(F)cc1.C[Si](C)(C)[N-][Si](C)(C)C.[Li+].Cc1cccc(Cl)n1,CCOC(=O)c1ccc(F)cc1.Cc1cccc(Cl)n1,False,True,True
23,COc1ccc2cc(C(C)C(=O)Oc3ccc(N=C=S)cc3)ccc2c1,C(=NC1CCCCC1)=NC1CCCCC1.COc1ccc2cc([C@H](C)C(=O)O)ccc2c1.Oc1ccc(-c2cc(=S)ss2)cc1.Oc1cccc2[nH]nnc12,COc1ccc2cc(C(C)C(=O)Cl)ccc2c1.Oc1ccc(N=C=S)cc1,False,False,True
24,CCOP(=O)(CNC(CCc1ccccc1)c1cc(C(C)(C)C)c(OC)c(C(C)(C)C)c1)OCC,C1CCOC1.CCOP([O-])OCC.COc1c(C(C)(C)C)cc(C=O)cc1C(C)(C)C.NCCCc1ccccc1,CCOP([O-])OCC.COc1c(C(C)(C)C)cc(C(CCc2ccccc2)NCCl)cc1C(C)(C)C,False,False,True
25,O=C1C2CCCCN2C(=O)N1c1c(F)cc(Cl)c2nc(Cl)sc12,CCOC(=O)C1CCCCN1.O=C=Nc1c(F)cc(Cl)c2nc(Cl)sc12,CCOC(=O)C1CCCCN1.O=C=Nc1c(F)cc(Cl)c2nc(Cl)sc12,True,True,True
26,Oc1ccc2ncsc2c1,Nc1ccc2ncsc2c1.O=N[O-].[Na+].[Na+].[OH-],COc1ccc2ncsc2c1,False,False,True
27,CCOC(=O)C1CSCCN1C(=O)Nc1ccc(Cl)cc1,CCOC(=O)C1CSCCN1.O=C=Nc1ccc(Cl)cc1,CCOC(=O)C1CSCCN1.O=C=Nc1ccc(Cl)cc1,True,True,True
28,CC(C)NCC(O)c1ccc2c(c1)OCO2,CC(C)NCC(O)c1ccc2c(c1)OCO2.Cl.[Na+].[OH-],CC(C)NCC(=O)c1ccc2c(c1)OCO2,False,False,True
29,CSc1nc(C(N)=O)c2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,COC(=O)c1nc(SC)n2c1CN=C(c1ccccc1Cl)c1cc(Cl)ccc1-2.N.[Br-].[K+],COC(=O)c1nc(SC)n2c1CN=C(c1cccc(Cl)c1Cl)c1cc(Cl)ccc1-2.N,False,False,True
30,CN1CCN(C2=Nc3ccccc3-n3ccc4cc(Cl)cc2c43)CC1,CN1CCN(C2=Nc3ccccc3N3CCc4cc(Cl)cc2c43)CC1,CN1CCN(C2=Nc3ccccc3N3CCc4cc(Cl)cc2c43)CC1,True,True,True
31,O=C1NC(=O)C(Cc2ccc(OCCc3nc(-c4ccccc4)oc3CBr)cc2)S1,CC(C)(C#N)N=NC(C)(C)C#N.Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2SC(=O)NC2=O)cc1.O=C1CCC(=O)N1Br,BrC(Br)(Br)Br.O=C1NC(=O)C(Cc2ccc(OCCc3nc(-c4ccccc4)oc3CO)cc2)S1,False,False,True
32,CCOC(=O)C(=O)[O-].[K+],CCOC(=O)C(=O)OCC.C[Si](C)(C)[O-].[K+],CCOC(=O)C(=O)OCC.[K+].[OH-],False,True,True
33,N#CCc1ccc(OCc2c(F)cccc2F)cc1,Fc1cccc(F)c1CBr.N#CCc1ccc(O)cc1.O=C([O-])[O-].[K+].[K+],N#CCc1ccc(O)cc1.OCc1c(F)cccc1F,False,False,True
34,Cc1nc2c(OCc3ccccc3)cccn2c1NC(C)(C)CC(C)(C)C,CC=O.Nc1ncccc1OCc1ccccc1.[C-]#[N+]C(C)(C)CC(C)(C)C,CC(=O)CNC(C)(C)CC(C)(C)C.Nc1ncccc1OCc1ccccc1,False,False,True
35,CC1CCN(C2CCN(C(=O)OCc3ccccc3)CC2)C(=O)N1,Br.CC(N)CCBr.CC(C)(C)[O-].[K+].CCN(CC)CC.O=C=NC1CCN(C(=O)OCc2ccccc2)CC1,Br.CC(N)CCNC1CCN(C(=O)OCc2ccccc2)CC1,False,False,True
36,CCOC(=O)CCc1cccc(NN)c1,CCOC(=O)CCc1cccc(N)c1.O.O.[Cl][Sn][Cl].O=N[O-].[Na+],CCOC(=O)CCc1cccc(N)c1.O=N[O-],False,True,True
37,Cc1ccc2c(c1)C(=O)N(C)CC(=O)N2,Cc1ccc2c(c1)C(=O)N1CCC[C@H]1C(=O)N2.O=C(O)[C@@H]1CCCN1,CN1CC(=O)Nc2ccccc2C1=O.Cc1ccc2c(c1)C(=O)OC(=O)N2,False,False,True
38,O=C1C2=CSCCN2C(=O)N1c1ccc(Cl)cc1F,CCCCCC.CCOC(=O)C1=NCCSC1.O=C=Nc1ccc(Cl)cc1F,CCOC(=O)C1=CSCCN1C(=O)Nc1ccc(Cl)cc1F,False,False,True
39,CN(C)c1ccc(C2(c3ccc(N(C)C)cc3N(C)C)OC(=O)c3ccccc32)cc1,CC(=O)OC(C)=O.CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)cc1.CN(C)c1cccc(N(C)C)c1.Cl,CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)cc1.CN(C)c1cccc(N(C)C)c1,False,False,True
40,CNC(=O)Nc1cc(C)ns1,CN=C=O.Cc1cc(N)sn1,CN=C=O.Cc1cc(N)sn1,True,True,True
41,COC(=O)c1ccc(OCC(O)CN(Cc2ccccc2)C(C)COc2ccc(O)c(C(N)=O)c2)cc1O,CC(COc1ccc(O)c(C(N)=O)c1)NCc1ccccc1.COC(=O)c1ccc(OCC2CO2)cc1O,CC(COc1ccc(O)c(C(N)=O)c1)NCc1ccccc1.COC(=O)c1ccc(OCC(O)CCl)cc1O,False,False,True
42,O[C@@H]1CCC[C@H](OCc2coc(-c3ccc(F)cc3)n2)C1,CC(=O)OC(C)=O.CC(=O)OC1CCCC(OCc2coc(-c3ccc(F)cc3)n2)C1.O=C([O-])CCCC(=O)OC1CCCC(OCc2ccccc2)C1.OC1CCCC(OCc2ccccc2)C1,Fc1ccc(-c2nc(CI)co2)cc1.O[C@H]1CCC[C@@H](O)C1,False,False,True
43,CCCN(C(=O)Nc1ccc(I)cc1)N(C(=O)OC(C)(C)C)c1cccc(C#N)c1,CCCNN(C(=O)OC(C)(C)C)c1cccc(C#N)c1.O=C=Nc1ccc(I)cc1,CCCN(C(=O)Cl)N(C(=O)OC(C)(C)C)c1cccc(C#N)c1.Nc1ccc(I)cc1,False,False,True
44,Cl.Cl.NCCCNc1cccc2nccn12,CC(C)(C)OC(=O)NCCCNc1cccc2nccn12.CO.Cl,CC(C)(C)OC(=O)NCCCNc1cccc2nccn12,False,False,True
45,C#CCOCc1c(C)nc2c(OCc3ccccc3C)cccn12,Cc1ccccc1COc1cccn2c(C[N+](C)(C)C)c(C)nc12.[I-].[H-].[Na+],C#CCBr.Cc1ccccc1COc1cccn2c(C[N+](C)(C)C)c(C)nc12,False,False,True
46,O=C1C=C(c2ccccc2)CCC1,CCOC1=CC(=O)CCC1.Cl.[Br][Mg][c]1ccccc1,Br[Mg]c1ccccc1.O=C1C=C(Br)CCC1,False,False,True
47,Cc1cc(Br)ccc1C(=O)NC(C)(C)C,CC(C)(C)N.Cc1cc(Br)ccc1C(=O)O,CC(C)(C)N.Cc1cc(Br)ccc1C(=O)Cl,False,False,True
48,CSC(=S)NCCCNC(=O)c1ccccc1.I,CI.NCCCNC(=O)c1ccccc1.S=C=S,CI.NCCCNC(=O)c1ccccc1.S=C=S,True,True,True
49,CCOC(=O)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,CCOC(=O)N1CCC(Nc2ccc(Cl)cc2)CC1.O=C(Cl)Cc1ccccc1,CCOC(=O)N1CCC(Nc2ccc(Cl)cc2)CC1.O=C(Cl)Cc1ccccc1,True,True,True
50,CN(C)C(=O)c1cc(C2CCCN2c2ccc(F)cc2)c2oc(N3CCOCC3)cc(=O)c2c1,CN(C)C(=O)c1cc(C2CCCN2)c2oc(N3CCOCC3)cc(=O)c2c1.Fc1ccc(Br)cc1,CN(C)C(=O)c1cc(C2CCCN2)c2oc(N3CCOCC3)cc(=O)c2c1.Fc1ccc(Br)cc1,True,True,True
51,Clc1cc(Nc2ccc(N3CCOCC3)cn2)c2nccn2c1,Clc1cc(Br)c2nccn2c1.Nc1ccc(N2CCOCC2)cn1,Clc1cc(Br)c2nccn2c1.Nc1ccc(N2CCOCC2)cn1,True,True,True
52,O=C1Nc2ccccc2/C1=C(/Nc1ccc(C(=O)O)cc1)c1ccccc1,CCOC(=O)c1ccc(N/C(=C2\C(=O)Nc3ccccc32)c2ccccc2)cc1.[Na+].[OH-],CCOC(=O)c1ccc(/N=C(/c2ccccc2)C2C(=O)Nc3ccccc32)cc1,False,False,True
53,CC(C)CC(C(=O)O)N1Cc2ccccc2CC(NC(=O)C(S)Cc2ccccc2)C1=O,CC(C)CC(C(=O)O)N1Cc2ccccc2CC(NC(=O)C(Cc2ccccc2)SC(=O)c2ccccc2)C1=O.Cl,CC(C)CC(C(=O)O)N1Cc2ccccc2CC(NC(=O)C(Cc2ccccc2)SC(=O)c2ccccc2)C1=O,False,True,True
54,OC1CCN(c2ccncc2)C1,Brc1ccncc1.OC1CCNC1,Brc1ccncc1.OC1CCNC1,True,True,True
55,COC(=O)c1cccc(CNC(=O)C2CC2)c1C(=O)OC,CCN(CC)CC.COC(=O)c1cccc(CN)c1C(=O)OC.Cl.O=C(Cl)C1CC1,COC(=O)c1cccc(CN)c1C(=O)OC.O=C(Cl)C1CC1,False,False,True
56,c1ccc(CNCCOCCOCCNCc2ccccc2)cc1,ClCCOCCOCCCl.NCc1ccccc1,BrCCOCCOCCNCc1ccccc1.NCc1ccccc1,False,False,True
57,COc1ccc(C=O)c(OC)c1-c1cc2ccccc2s1,CI.COc1ccc(C=O)c(O)c1-c1cc2ccccc2s1.O=C([O-])[O-].[K+].[K+],COc1ccc(C=O)c(OC)c1Br.OB(O)c1cc2ccccc2s1,False,False,True
58,COC(=O)COc1ccc(C(=O)C(C)(C)N2CCN(c3ccncc3)CC2)cc1,COC(=O)COc1ccc(C(=O)C(C)(C)Br)cc1.c1cc(N2CCNCC2)ccn1,CC(C)(C(=O)c1ccc(OCC(=O)O)cc1)N1CCN(c2ccncc2)CC1.CI,False,False,True
59,COc1ccccc1C1CC(C)CCC1=O,CC1CCC(=O)CC1.COc1ccccc1Cl.N.[NH2-].[Na+],COc1ccccc1C1=CC(C)CCC1=O,False,False,True
60,COc1cccc(N2CCC(C#N)CC2)c1,COc1cccc(Br)c1.N#CC1CCNCC1,COc1cccc(Br)c1.N#CC1CCNCC1,True,True,True
61,Clc1cccnc1NC1CCC1,Clc1cccnc1Br.NC1CCC1,Clc1cccnc1Br.NC1CCC1,True,True,True
62,Cc1cc(C(=O)N2Cc3cccn3Cc3ccccc32)ccc1NC(=O)c1ccc(Cl)cc1Cl,CCN(C(C)C)C(C)C.Cc1cc(C(=O)N2Cc3cccn3Cc3ccccc32)ccc1N.O=C(Cl)c1ccc(Cl)cc1Cl,Cc1cc(C(=O)N2Cc3cccn3Cc3ccccc32)ccc1N.O=C(Cl)c1ccc(Cl)cc1Cl,False,False,True
63,Cc1cc([C@@H]2CCCN2C(=O)OCc2ccccc2)on1,CC(C=C[C@@H]1CCCN1C(=O)OCc1ccccc1)=NO.O=C([O-])O.[Na+],CC(/C=C/[C@@H]1CCCN1C(=O)OCc1ccccc1)=N/O,False,False,True
64,Cc1ccc(Oc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)c2)c(C)n1,Cc1ccc(Oc2ccnc(Cl)c2)c(C)n1.Nc1ccc(S(N)(=O)=O)cc1,Cc1ccc(Oc2ccnc(Cl)c2)c(C)n1.Nc1ccc(S(N)(=O)=O)cc1,True,True,True
65,C=Cc1ccccc1CC(N=C(S(C)(=O)=O)S(C)(=O)=O)C(=O)N1C2CC3CCC2(CS1(=O)=O)C3(C)C,C=Cc1ccccc1CI.CC1(C)C2CCC13CS(=O)(=O)N(C(=O)CN=C(S(C)(=O)=O)S(C)(=O)=O)C3C2,C=Cc1ccccc1CI.CC1(C)C2CCC13CS(=O)(=O)N(C(=O)CN=C(S(C)(=O)=O)S(C)(=O)=O)C3C2,True,True,True
66,O=c1ccc2cc(OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OCc3ccccc3)cc2o1,C1COCCOCCOCCOCCOCCO1.ClCc1ccccc1.O=C([O-])[O-].[K+].[K+].O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1.[I-].[K+],BrCc1ccccc1.O=c1ccc2cc(OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,False,False,True
67,O=C1c2ccccc2C(=O)N1CCCCCCSc1cccc2nccn12,CCN(CC)CC.O=C1c2ccccc2C(=O)N1CCCCCCBr.Sc1cccc2nccn12,Sc1cccc2nccn12.O=C1c2ccccc2C(=O)N1CCCCCCBr,False,False,True
68,C[C@H]1CNCCN1S(=O)(=O)c1cccc(-c2ccnc(NCCc3cccc(F)c3)n2)c1,C[C@H]1CN(C(=O)OC(C)(C)C)CCN1S(=O)(=O)c1cccc(-c2ccnc(Cl)n2)c1.NCCc1cccc(F)c1,C[C@H]1CN(C(=O)OC(C)(C)C)CCN1S(=O)(=O)c1cccc(-c2ccnc(NCCc3cccc(F)c3)n2)c1,False,False,True
69,Clc1ccc(Nc2nnc(NCCCOc3cccc(CN4CCCCC4)c3)o2)cc1,O=C(NCCCOc1cccc(CN2CCCCC2)c1)NNC(=O)Nc1ccc(Cl)cc1.O=P(Cl)(Cl)Cl,O=C(NCCCOc1cccc(CN2CCCCC2)c1)NNC(=O)Nc1ccc(Cl)cc1,False,True,True
70,O=C1C2CCC(CC2)C(=O)N1CCCCN1CCN(c2ncccn2)CC1,NCCCCN1CCN(c2ncccn2)CC1.O=C1OC(=O)C2CCC1CC2,NCCCCN1CCN(c2ncccn2)CC1.O=C1OC(=O)C2CCC1CC2,True,True,True
71,CCNC(=O)NNC(=S)NCCCOc1cccc(CN2CCCCC2)c1,CCN=C=O.NNC(=S)NCCCOc1cccc(CN2CCCCC2)c1,CCNC(=O)Cl.NNC(=S)NCCCOc1cccc(CN2CCCCC2)c1,False,False,True
72,CC(=O)OCC(CO)CCn1cnc2cnc(N)nc21,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O.O=C([O-])[O-].[K+].[K+],CC(=O)OC(C)=O.Nc1ncc2ncn(CCC(CO)CO)c2n1,False,False,True
73,Cc1ccc(CSC2=N[C@@H](c3ccccc3)[C@@H](c3ccccc3)N2)cc1.Cl,Cc1ccc(CCl)cc1.S=C1N[C@H](c2ccccc2)[C@H](c2ccccc2)N1,Cc1ccc(CCl)cc1.S=C1N[C@H](c2ccccc2)[C@H](c2ccccc2)N1,True,True,True
74,C[Si](C)(C)CCOCn1nc(-c2ccnc(C3CC3)n2)cc(-c2nc3ccccc3n2COCC[Si](C)(C)C)c1=O,C[Si](C)(C)CCOCn1nc(-c2ccnc(Cl)n2)cc(-c2nc3ccccc3n2COCC[Si](C)(C)C)c1=O.O=P([O-])([O-])[O-].[K+].[K+].[K+].OB(O)C1CC1,C[Si](C)(C)CCOCn1nc(-c2ccnc(Cl)n2)cc(-c2nc3ccccc3n2COCC[Si](C)(C)C)c1=O.OB(O)C1CC1,False,True,True
75,Nc1nc(Sc2ccccc2)ccc1[N+](=O)[O-],Nc1nc(Cl)ccc1[N+](=O)[O-].[Na+].[S-]c1ccccc1,Nc1nc(Cl)ccc1[N+](=O)[O-].[Na+].[S-]c1ccccc1,True,True,True
76,O=[N+]([O-])c1c(F)cc(Cl)c2nc(Cl)sc12,Fc1cc(Cl)c2nc(Cl)sc2c1.O=[N+]([O-])O,Fc1cc(Cl)c2nc(Cl)sc2c1.O=S(=O)(O)O.O=[N+]([O-])O,False,True,True
77,CC(=O)Nc1cc([N+](=O)[O-])c(Cl)cc1F,CC(=O)Nc1ccc(Cl)cc1F.O=[N+]([O-])O,CC(=O)Nc1ccc(Cl)cc1F.O=[N+]([O-])O,True,True,True
78,CCCc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,CCCc1nc2cccc(C(=O)OC)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1.Cl.[Na+].[OH-],CCCc1nc2cccc(C(=O)OC)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,False,True,True
79,CC(=O)O.CC(=O)[O-].[Na+],CC(=O)[O-].[Na+].[Na+].[OH-],CC(=O)O.[Na+].[OH-],False,False,True
80,CN(C)CCS(=O)(=O)N(C)c1ccc(N/C(=C2\C(=O)Nc3ccccc32)c2ccccc2)cc1,CCOC(=C1C(=O)Nc2ccccc21)c1ccccc1.CN(C)CCS(=O)(=O)N(C)c1ccc(N)cc1,CN(C)CCS(=O)(=O)N(C)c1ccc(N)cc1.O=C1Cc2ccccc2N1,False,False,True
81,Fc1cccc(F)c1CNc1cc2c3c(c1)[C@@H]1CNCC[C@@H]1N3CCSC2,CC(C)(C)OC(=O)N1CC[C@H]2[C@@H](C1)c1cc(N)cc3c1N2CCSC3.O=Cc1c(F)cccc1F,CC(C)(C)OC(=O)N1CC[C@H]2[C@@H](C1)c1cc(N)cc3c1N2CCSC3.O=Cc1c(F)cccc1F,True,True,True
82,CS(=O)(=O)c1ccccc1S(=O)(=O)Nc1ccc2[nH]nc(-c3cccs3)c2c1,CC(C)(C)OC(=O)N(c1ccc2c(c1)c(I)nn2C(=O)OC(C)(C)C)S(=O)(=O)c1ccccc1S(C)(=O)=O.O=C([O-])O.[Na+].OB(O)c1cccs1,CC(C)(C)OC(=O)n1nc(I)c2cc(NS(=O)(=O)c3ccccc3S(C)(=O)=O)ccc21.OB(O)c1cccs1,False,False,True
83,NS(=O)(=O)c1ccccc1CN1CCCC1,C1CCNC1.NS(=O)(=O)c1ccccc1CCl,CC(C)(C)NS(=O)(=O)c1ccccc1CN1CCCC1,False,False,True
84,O=C1CC(=O)NC(=O)N1,C(=NC1CCCCC1)=NC1CCCCC1.C=CCC1(C(C)CC(=O)O)C(=O)NC(=O)NC1=O.O=[N+]([O-])c1ccc(O)cc1,NC(N)=O.O=C(O)CC(=O)O,False,False,True
85,COC(=O)C1CCN(c2ccc(Br)cc2)C1,Brc1ccc(Br)cc1.COC(=O)C1CCNC1,Brc1ccc(Br)cc1.COC(=O)C1CCNC1,True,True,True
86,Cc1[nH]cnc1CSCCNC(=C[N+](=O)[O-])NCCCNC(=NC#N)NCCSCc1ccccn1,CSC(=C[N+](=O)[O-])NCCSCc1nc[nH]c1C.CSC(=NCCSCc1ccccn1)NC#N.NCCCNC(=O)c1ccccc1,CSC(=C[N+](=O)[O-])NCCSCc1nc[nH]c1C.N#CNC(=NCCSCc1ccccn1)NCCCN,False,False,True
87,CCOC(=O)COc1ccc(C(C)=O)cc1C,CC(=O)c1ccc(O)c(C)c1.CCOC(=O)CBr.O=C([O-])[O-].[Cs+].[Cs+],CCOC(=O)CBr.Cc1cc(C(C)=O)ccc1O,False,True,True
88,CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(C)c1,CCN(CC)c1cccc(C)c1.Clc1ccccc1.O=C1OC(=O)c2ccccc21.[Al+3].[Cl-].[Cl-].[Cl-],CCN(CC)c1cccc(C)c1.O=C1OC(=O)c2ccccc21.[Al+3].[Cl-].[Cl-].[Cl-],False,False,True
89,Cl.N#Cc1cncc2cccc(O[C@H]3CC[C@H](NCCO)CC3)c12,BrCCOC1CCCCO1.Cl.N#Cc1cncc2cccc(O[C@H]3CC[C@H](N)CC3)c12,N#Cc1cncc2cccc(O[C@H]3CC[C@H](N)CC3)c12.OCCBr,False,False,True
90,[Cl-].[Cl-].[Zr+2].c1cc[cH-]c1.c1cc[cH-]c1,CC(C)c1ccccc1.[Al+3].[Cl-].[Cl-].[Cl-].[Al].[Cl-].[Cl-].[Cl-].[Cl-].[Zr+4],Cc1ccccc1.[Cl-].[Cl-].[Cl-],False,False,True
91,COC(=O)/C=C(\Nc1ccccc1C#N)C(=O)OC,COC(=O)C#CC(=O)OC.N#Cc1ccccc1N,COC(=O)C#CC(=O)OC.N#Cc1ccccc1N,True,True,True
92,Cc1cc(N2CCOCC2)cc(C)c1NC(=O)CC1CCCC1,C1COCCN1.Cc1cc(Br)cc(C)c1NC(=O)CC1CCCC1,Cc1cc(N2CCOCC2)cc(C)c1N.O=C(Cl)CC1CCCC1,False,False,True
